,lr,lc,drop_rate,Test_acc_mean,Test_acc_std
24, lr=0.01,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.689,0.0153
25, lr=0.005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6885,0.0152
49, lr=0.005,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6884,0.0158
23, lr=0.01,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6882,0.0151
48, lr=0.005,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.688,0.0157
26, lr=0.005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.688,0.0153
50, lr=0.001,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6878,0.0164
47, lr=0.005,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6877,0.0157
22, lr=0.01,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6876,0.0151
27, lr=0.005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6875,0.0156
46, lr=0.005,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6874,0.0157
51, lr=0.001,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6873,0.0169
45, lr=0.005,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.687,0.0156
52, lr=0.001,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.687,0.0169
28, lr=0.005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6869,0.0159
21, lr=0.01,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6868,0.0149
53, lr=0.001,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6867,0.017
44, lr=0.005,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6866,0.0154
74, lr=0.001,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6865,0.0175
43, lr=0.005,lc=0.005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6863,0.0155
73, lr=0.001,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6863,0.0175
29, lr=0.005,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6862,0.0162
30, lr=0.005,lc=0.0005,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6861,0.016
72, lr=0.001,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6861,0.0175
54, lr=0.001,lc=0.0001,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.686,0.0176
20, lr=0.01,lc=0.01,"[0.3, 0.4, 0.5, 0.6, 0.7]",0.6859,0.0145
